Product Type,Size,Paper Weight,Paper Type,Paper Color,Parts,Sides,Ink Color,Quantity,Price,Max Qty,Overage per 1000,Pricing Type
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,500,105,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,1000,166,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,2000,273,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,2500,347,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,3000,412,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,4000,543,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,5000,686,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,6000,768,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,7000,874,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,8000,969,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,9000,1061,,,Standard
Carbonless Form,"5.5"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Double,Black,10000,1147,,,Standard
,,,,,,,,,,,,
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,500,56,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,1000,72,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,2000,107,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,2500,133,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,3000,152,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,4000,190,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,5000,221,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,6000,257,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,7000,295,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,8000,327,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,9000,365,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary,2,Single,Black,10000,397,,,Standard
,,,,,,,,,,,,
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,500,68,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,1000,101,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,2000,160,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,2500,199,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,3000,233,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,4000,298,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,5000,362,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,6000,422,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,7000,490,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,8000,544,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,9000,611,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink,3,Single,Black,10000,667,,,Standard
,,,,,,,,,,,,
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,500,82,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,1000,128,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,2000,211,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,2500,261,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,3000,310,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,4000,400,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,5000,495,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,6000,588,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,7000,682,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,8000,782,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,9000,879,,,Standard
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Canary / Pink / Goldenrod,4,Single,Black,10000,971,,,Standard
,,,,,,,,,,,,
Carbonless Form,"7"" x 8.5""",21lb,NCR,White / Green / Canary / Pink / Goldenrod,5,Single,Black,500,95,,,Standard
